Date,Open,High,Low,Close,Volume,Ticker,Fund_Name,Category,Style,SMA_20,SMA_50,SMA_200,Daily_Return,Volatility_20,Cumulative_Return
2023-05-18 00:00:00-04:00,117.51007843017578,117.51007843017578,117.51007843017578,117.51007843017578,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,112.06233062744141,109.57117431640626,,1.7716211688246108,1.1158058813320013,27.427040828609783
2023-05-19 00:00:00-04:00,116.73987579345703,116.73987579345703,116.73987579345703,116.73987579345703,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,112.38904685974121,109.84463836669921,,-0.6554353864859364,1.1374528369800294,26.5918389110672
2023-05-22 00:00:00-04:00,117.0711441040039,117.0711441040039,117.0711441040039,117.0711441040039,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,112.73936614990234,110.1649772644043,,0.2837662009620212,1.1331253625883597,26.9510637630731
2023-05-23 00:00:00-04:00,115.47276306152344,115.47276306152344,115.47276306152344,115.47276306152344,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,113.13564910888672,110.44937316894531,,-1.365307441653163,1.0362770799149634,25.217791442257997
2023-05-24 00:00:00-04:00,114.9758529663086,114.9758529663086,114.9758529663086,114.9758529663086,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,113.46484909057617,110.67712188720704,,-0.43032666928571883,1.045698228895797,24.6789458909914
2023-05-25 00:00:00-04:00,117.93244934082031,117.93244934082031,117.93244934082031,117.93244934082031,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,113.816410446167,110.96963409423829,,2.5714933164080023,1.0729151622468438,27.885056651546194
2023-05-26 00:00:00-04:00,121.53502655029297,121.53502655029297,121.53502655029297,121.53502655029297,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,114.32159843444825,111.27539718627929,,3.054780282788272,1.2360504474835927,31.791664146770238
2023-05-30 00:00:00-04:00,121.75862884521484,121.75862884521484,121.75862884521484,121.75862884521484,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,114.81436424255371,111.60219589233398,,0.18398177156717654,1.2373998035290446,32.03413678524534
2023-05-31 00:00:00-04:00,120.27619171142578,120.27619171142578,120.27619171142578,120.27619171142578,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,115.2723461151123,111.89172668457032,,-1.2175212121299461,1.2671845685695275,30.426593162632297
2023-06-01 00:00:00-04:00,122.25553131103516,122.25553131103516,122.25553131103516,122.25553131103516,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,115.84792900085449,112.1774478149414,,1.6456620146057865,1.2836335449246363,32.57297406325419
2023-06-02 00:00:00-04:00,123.6717300415039,123.6717300415039,123.6717300415039,123.6717300415039,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,116.52744903564454,112.5236262512207,,1.1583923567971333,1.264233841743226,34.10868926198156
